Test Item,Result
"onboard captain(){  pint objects = load(""enter number of objects: "");  fire(objects);  fire("" objects can be equally distributed with "");  fire(objects // 5);  fire("" objects per person""); }  offboard",Syntax analysis successful
"onboard captain(){  pint age = load(""Enter your age:"");  pint age5 = age + 5;    fire(""Your age after 5 years is "");  fire(age5); } offboard",Syntax analysis successful
"onboard captain(){ loyal fleet f = 0.02; loyal pint n = 10; fleet money = load(""enter money: ""); fleet inflated = money * ((1+f)** n);  fire(inflated); } offboard",Syntax analysis successful
"onboard captain(){ pint your_score = load(""enter your score: ""); pint total_items = load(""total items: "");  fire(""your grade is ""); fire(your_score/total_items); } offboard",Syntax analysis successful
"onboard captain(){ doffy password = ""password""; doffy attempt = load(""enter password: ""); theo(attempt == password){ fire(""passsed!""); }  alt { fire(""failed!""); } } offboard",Syntax analysis successful
"onboard void greetings(doffy name){  fire(""Hi my name is "");  fire(name); } captain(){  doffy name = load(""Enter your name: "");  greetings(name); } offboard",Syntax analysis successful
"onboard captain(){  doffy word = load(""Enter Word: "");    fire(""The length of the word is: "");  fire(len(word)); } offboard",Syntax analysis successful
"onboard captain(){    pint num1 = load(""Enter the first number: "");  pint num2 = load(""Enter the second number: "");  pint num3 = load(""Enter the third number: "");  pint num4 = load(""Enter the fourth number: "");  pint num5 = load(""Enter the fifth number: "");  pint num6 = load(""Enter the sixth number: "");  pint num7 = load(""Enter the seventh number: "");  pint max_num = 0;   theo (num1 >= num2 and num1 >= num3 and num1 >= num4 and num1 >= num5 and num1 >= num6 and num1 >= num7){  max_num = num1;  }   altheo(num2 >= num1 and num2 >= num3 and num2 >= num4 and num2 >= num5 and num2 >= num6 and num2 >= num7){  max_num = num2;  }  altheo(num3 >= num1 and num3 >= num2 and num3 >= num4 and num3 >= num5 and num3 >= num6 and num3 >= num7){  max_num = num3;  }  altheo(num4 >= num1 and num4 >= num2 and num4 >= num3 and num4 >= num5 and num4 >= num6 and num4 >= num7){  max_num = num4;  }  altheo(num5 >= num1 and num5 >= num2 and num5 >= num3 and num5 >= num4 and num5 >= num6 and num5 >= num7){  max_num = num5;  }  altheo(num6 >= num1 and num6 >= num2 and num6 >= num3 and num6 >= num4 and num6 >= num5 and num6 >= num7){  max_num = num6;  }  alt{  max_num = num7;  }   fire(""The maximum number among "");  fire(num1);  fire("", "");  fire(num2);  fire("", "");  fire(num3);  fire("", "");  fire(num4);  fire("", "");  fire(num5);  fire("", "");  fire(num6);  fire("" and "");  fire(num7);  fire("" is: "");  fire(max_num); } offboard",Syntax analysis successful
"onboard captain(){    fleet celsius = load(""Enter the temperature in Celsius: "");  fleet newton = 0.0;   newton = celsius * 0.33;   fire(celsius);  fire("" Celsius is equal to "");  fire(newton);  fire("" Newton.""); } offboard",Syntax analysis successful
"onboard  captain() {  fleet yards = load(""Enter the number of yards: "");  fleet kilometers = 0.0;    kilometers = yards * 0.0009144;    fire(yards10);  fire("" yards is equal to "");  fire(kilometers);  fire("" kilometers.""); } offboard",Syntax analysis successful
