test_item,expected,actual,remarks,detailed error if meron,,
"onboard   
         theo(Real)
offboard",Syntax Error,,,,,
"onboard
         theo(Usopp)
offboard",Syntax Error,,,,,
"onboard
        theo(fire)
offboard",Syntax Error,,,,,
"onboard
         theo(load)
offboard",Syntax Error,,,,,
"onboard 
          theo(1+5)
offboard",Syntax Error,,,,,
"onboard
          theo(10-2)
offboard",Syntax Error,,,,,
"onboard
           theo(10//3)
offboard",Syntax Error,,,,,
"onboard
          theo(4*7)
offboard",Syntax Error,,,,,
"onboard
          theo(theo)
offboard",Syntax Error,,,,,
"onboard
          theo(altheo)
offboard",Syntax Error,,,,,
"onboard
          theo(alt)
offboard",Syntax Error,,,,,
"onboard
           theo(helm)
offboard",Syntax Error,,,,,
"onboard
           theo(whale)
offboard",Syntax Error,,,,,
"onboard
   captain(){
   fire(""hello world!"");
}
offboard",No Syntax Error,,,,,
"onboard
     captain(){
     fire(""Happy Birthday"");
}
offboard",No Syntax Error,,,,,
"onboard
    captain(){
    fire(9 + ""Lucky"");
}
offboard",No Syntax Error,,,,,
"onboard
            theo(four)
offboard",Syntax Error,,,,,
"onboard 
            theo(a>5)
offboard",Syntax Error,,,,,
"onboard
captain(){
pint a = 5;
             theo(5<2){
             fire(""Nice"");
}
}
offboard",No Syntax Error,,,,,
"onboard 
             captain(){
             theo(3==3)
             }
offboard",Syntax Error,,,,,
"onboard 
             theo(a != b)
offboard",Syntax Error,,,,,
"onboard 
             captain(){
             theo(5<=5)
             }
offboard",Syntax Error,,,,,
"onboard
pint a = ;
offboard",Syntax Error,,,,,
"onboard 
             captain(){
             theo(10>=9)
             }
offboard",Syntax Error,,,,,
"onboard
   pint a = 1;
   captain(){
   whale(1==1){
     theo(a == 5){
          leak;
}

    a++;
}
}
offboard",No Syntax Error,,,,,
"onboard 
           altheo(a==2):
offboard",Syntax Error,,,,,
"onboard
        captain(){
        theo (a==2){}
        altheo (a==2){}
        }
offboard",No Syntax Error,,,,,
"onboard 
           altheo(c==7);
offboard",Syntax Error,,,,,
"onboard
captain(){
   theo (5 > a){
      fire(""5 is greater than a"");
} altheo (5 < a) {
      fire(""5 is less than a"");
}
}
offboard",No Syntax Error,,,,,
"onboard
captain(){
   altheo(5==5){
     fire(""not wow"")
} theo(2==1){
    fire(""Amazing"")
}
}",Syntax Error,,,,,
"onboard
captain(){
theo (7 < a){
   fire(“5 is less than a”)
} altheo (5 <= a) {
   fire(“5 is less than equal to a”);
} alt {
   fire(“a is equal to 5 ”);
}
}
offboard",Syntax Error,,,,,
"onboard
     doffy = load(enter number);
offboard",Syntax Error,,,,,
"onboard
pint loyal = 5;
offboard",Syntax Error,,,,,
"onboard
capatain() {
        pint a = 2 + = ;    
}
offboard",Syntax Error,,,,,
"onboard
       pint a  = ;
offboard",Syntax Error,,,,,
"onboard
        captain(){
        pint a = 3500;
        }
offboardoffboard",Syntax Error,,,,,
"onboard
       pint a = { }
offboard",Syntax Error,,,,,
"onboard
       pint []
offboard",Syntax Error,,,,,
"onboard
   doffy name = ""Karl"";
   captain(){
   for(pint i = 0; i < len(name); i++){
     fire(name[i]);
}
}
offboard",Syntax Error,,,,,
"onboard
   doffy name = ""Karl"";
   captain(){
   four(pint i = 0; i < len(name); i++){
     fire(name[i]);
}
}
offboard",No Syntax Error,,,,,
"onboard
captain(){
pint day = 3;

helm(day){
   chest 1:  fire(""Monday"") ; leak;
   chest 2:  fire(""Tuesday"") ; leak;
   chest 3:  fire(""Wednesday"") ; leak;
   chest 4:  fire(""Thursday""); leak;
   chest 5:  fire(""Friday""); leak;
   chest 6:  fire(""Saturday""); leak;
   chest 7:  fire(""Sunday"");
  
 dagger:  fire(""Not a day"");
}
}
offboard",No Syntax Error,,,,,
"onboard
captain(){
pint month = 5;

helm(month){
   chest 1:  fire(""January"") ; leak;
   chest 2:  fire(""February"") ; leak;
   chest 3:  fire(""March"") ; leak;
   chest 4:  fire(""April""); leak;
   chest 5:  fire(""May""); leak;
   chest 6:  fire(""June""); leak;
   chest 7:  fire(""July""); leak;
   chest 8:  fire(""August""); leak;
   chest 9:  fire(""September""); leak;
   chest 10:  fire(""October""); leak;
   chest 11:  fire(""November""); leak;
   chest 12:  fire(""December"");leak;
  
 dagger:  fire(""Error"");
}
}
offboard",No Syntax Error,,,,,
"onboard
        captain(){
       doffy math = + ;
        }
offboard",Syntax Error,,,,,
"onboard
        captain(){
       doffy math = ""Plus"";
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
       fleet x = """";
        }
offboard",No Syntax Error,,,,,
"onboard
        captain(){
       }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  a = [""A"", ""B"", ""C""] + n = [""D"", ""E""];
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  doffy rainbow = [""Red"", ""Blue"", ""Yellow""];
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  num = [1. 2. 3, 4.];
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  doffy boom = [""hello"", 'hi', whats_up];
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  load(input your answer: );
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  pint samp_array = [1, 2, 3, 66];
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  doffy charots = [""A"", ""Hello"", ""24""];
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  bull boolVal = real;
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  bull trula = Real; 
         }
offboard",No Syntax Error,,,,,
"onboard 
         captain() {
                  True = real;
         }
offboard",No Syntax Error,,,,,
"onboard 
         captain() {
                  bull falseVal = usopp;
         }
offboard",No Syntax Error,,,,,
"onboard          
         captain() {
                  bull falseVal = Usopp;
         }
offboard",No Syntax Error,,,,,
"onboard 
         captain() {
                  pint sumNum(pint numA, pint numB) {
                           home (numA + numB);
                  }
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  doffy firstName = ""Jacob"";
                  doffy lastName = ""Dela Cruz"";
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  fire(this_is_error);
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  fire(""Print me!"");
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  doffy Shirley == real;
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  fire(""You forgot the semicolon :("")
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  pint sum10 = 8+2;
                  fire(sum10);
         }
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  pint sumNegatives = 5 + -55;
                  fire(sumNegatives);
        } 
offboard",No Syntax Error,,,,,
"onboard
         captain() {
                  doffy wrongDeclaration; 
         }
offboard",Syntax Error,,,,,
"onboard
         captain() {
                  fire(""You forgot to close the captain()!!"");
offboard",Syntax Error,,,,,
"onboard
captain(){
doffy block = 3;

helm(block){
   chest 1:  fire(""You are block 1"") ; leak;
   chest 2:  fire(""You are block 2"") ; leak;
   chest 3:  fire(""You are block 3"") ; leak;
   
  
 dagger:  fire(""""Not enrolled"""");
}
}
offboard",Syntax Error,,,,,
"onboard
captain(){
doffy color = ""Yellow"";

helm(color){
   chest ""Green"":  fire(""Go"") ; leak;
   chest ""Yellow"":  fire(""Ready"") ; leak;
   chest ""Red"" fire(""Stop"") ; leak;
   
  
 dagger:  fire(""Error"");
}
}
offboard",Syntax Error,,,,,
"onboard
captain(){
pint grade = 1;

helm(grade){
   chest 1:  fire(""Ace"") ; leak;
   chest 1.25:  fire(""Very Good"") ; leak;
   chest 1.5: fire(""Good"") ; leak;
   chest 1.75: fire(""Nice"") ; leak;
   chest 2: fire(""Not Bad"") ; leak;
   chest 3: fire(""Pass"") ; leak;
   chest 5: fire(""Failed"") ; leak;
  
 dagger:  fire(""Error"";
}
}
offboard",Syntax Error,,,,,
"onboard
captain(){
pint grade = 1;

helm(grade){
   chest 1:  fire(""Ace"") ; leak;
   chest 1.25:  fire(""Very Good"""") ; leak;
   chest 1.5: fire(""Good"") ; leak;
   chest 1.75: fire(""Nice"") ; leak;
   chest 2: fire(""Not Bad"") ; leak;
   chest 3: fire(""Pass"") ; leak;
   chest 5: fire(""Failed"") ; leak;
  
 dagger:  fire(""Error"";
}
}
offboard",Syntax Error,,,,,
"onboard
captain(){
doffy program = ""CS"";

helm(color){
   chest ""IT"":  fire(""Information Technology"") ; leak;
   chest ""CpE"":  fire(""Computer Engineering"") ; leak;
   chest ""CS"" fire(""Computer Science"")  leak;
   
  
 dagger:  fire(""Error"");
}
}
offboard",Syntax Error,,,,,
"onboard
captain() {
pint a = 10;
theo(x > 7 and x ){}
}
offboard",Syntax Error,,,,,
"onboard
capatain() {
pint a = 10;
theo(x > 7){}
}
offboard",Syntax Error,,,,,
"onboard
         captain() {
                 bull mabaho == real;
                 bull hindi_naman == usopp;
         }
offboard",Syntax Error,,,,,
